Test Date,Nest,Treatment,Diver,EggScore,EggStage,StartTime,Gone,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,FanCount,FanPerc,FanProp,GuardCount,GuardPerc,GuardProp,ChaseCount,ChasePerc,ChaseProp,ReturnCount,ReturnPerc,ReturnProp,AbsentCount,AbsentPerc,AbsentProp,PredCount,FishChase,DiverChase,Jar,Notes
19/05/2022,1,TENS,Connor,3,E,13:52,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,Fled behaviour
14/05/2022,2,MS-222,Connor,3,E,09:41,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G,F,20,95.23809524,0.952380952,1,4.761904762,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,22,
17/05/2022,3,TENS,Laura,NA,E,11:31,0,F,F,F,F,F,F,G,G,G,G,F,F,F,F,F,F,F,F,F,G,G,15,71.42857143,0.714285714,6,28.57142857,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,12,"Fish didn't really respond to bluegill | Possible egg score typo? Originally typed in as 0 but makes no sense that bass would be back fanning with no eggs, so they may have been well-hidden... putting ""NA"" to be safe"
13/05/2022,4,SC,Connor,3,E,11:12,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Faced diver until 210 (3:30)
14/05/2022,5,LC,Connor,3,E,10:02,0,F,F,F,F,F,F,F,F,R,F,R,F,C,F,F,F,F,F,F,F,F,18,85.71428571,0.857142857,0,0,0,1,4.761904762,0.047619048,2,9.523809524,0.095238095,0,0,0,2,3,0,14,Inactive bluegill in jar for ~25-35 s
19/05/2022,6,LC,Laura,5,E,14:40,0,F,F,G,G,F,F,G,G,F,F,G,G,F,G,G,F,G,F,F,F,F,12,57.14285714,0.571428571,9,42.85714286,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,44,"Fish seems injured, weird kink/bend in spine"
18/05/2022,7,AC,Laura,4,E,16:14,0,G,G,G,F,F,G,G,F,G,G,F,G,G,F,G,G,F,F,G,F,G,8,38.0952381,0.380952381,13,61.9047619,0.619047619,0,0,0,0,0,0,0,0,0,0,0,0,15,
17/05/2022,8,PES,Laura,4,E,11:49,0,F,F,F,F,F,F,F,F,F,G,G,G,G,F,F,G,G,F,F,F,G,14,66.66666667,0.666666667,7,33.33333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,21,
13/05/2022,9,AC,Connor,3,E,15:23,0,F,F,G,F,F,A,A,A,A,A,R,F,G,G,G,G,F,F,G,F,F,9,42.85714286,0.428571429,6,28.57142857,0.285714286,0,0,0,1,4.761904762,0.047619048,5,23.80952381,0.238095238,0,1,0,32,
18/05/2022,11,MS-222,Jamie,4,E,16:43,0,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,21,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
