Tag,Treatment,InitialScore,24hScore,ScoreDiff,Date1,AbandonDate,PreCold,ColdAbandon,EarlyAbandon,Check,Status,Abandon,Success
1,TENS,3,4,1,19/05/2022,NA,N,0,0,6,0,0,1
2,TMS,3,4,1,14/05/2022,19/05/2022,Y,1,1,2,1,1,0
3,TENS,3,3,0,17/05/2022,NA,Y,0,0,6,0,0,1
4,TENS Control,3,4,1,13/05/2022,NA,Y,0,0,6,0,0,1
5,TMS Control,3,3,0,14/05/2022,19/05/2022,Y,1,1,2,1,1,0
6,TMS Control,5,5,0,19/05/2022,31/05/2022,N,0,0,4,1,1,0
7,Angled Control,3,3,0,18/05/2022,03/06/2022,N,0,0,5,1,1,0
8,PES,3,3,0,17/05/2022,NA,Y,0,0,6,0,0,1
9,Angled Control,3,4,1,13/05/2022,19/05/2022,Y,1,1,2,1,1,0
11,TMS,3,4,1,18/05/2022,NA,N,0,0,6,0,0,1
12,TMS,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
13,Angled Control,4,4,0,19/05/2022,NA,N,0,0,6,0,0,1
14,TMS Control,4,3,-1,16/05/2022,NA,Y,0,0,6,0,0,1
15,Angled Control,4,4,0,18/05/2022,NA,N,0,0,6,0,0,1
16,PES,3,2,-1,14/05/2022,NA,Y,0,0,6,0,0,1
17,Angled Control,3,3,0,14/05/2022,19/05/2022,Y,1,1,2,1,1,0
18,PES,3,4,1,20/05/2022,26/05/2022,N,0,1,2,1,1,0
19,TENS,3,4,1,18/05/2022,NA,N,0,0,6,0,0,1
20,TMS Control,4,5,1,20/05/2022,NA,N,0,0,6,0,0,1
22,Angled Control,4,3,-1,16/05/2022,17/05/2022,Y,1,1,1,1,1,0
23,PES,5,3,-2,21/05/2022,NA,N,0,0,6,0,0,1
24,PES,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
25,PES,3,3,0,19/05/2022,NA,N,0,0,6,0,0,1
26,TENS Control,3,3,0,14/05/2022,NA,Y,0,0,6,0,0,1
27,TMS,3,4,1,17/05/2022,NA,Y,0,0,6,0,0,1
28,TMS,3,4,1,16/05/2022,NA,Y,0,0,6,0,0,1
29,TMS,4,3,-1,14/05/2022,19/05/2022,Y,1,1,2,1,1,0
30,TMS,4,4,0,19/05/2022,NA,N,0,0,6,0,0,1
31,TMS Control,5,5,0,18/05/2022,NA,N,0,0,6,0,0,1
32,Angled Control,3,4,1,18/05/2022,NA,N,0,0,6,0,0,1
34,TENS,4,3,-1,16/05/2022,NA,Y,0,0,6,0,0,1
35,TENS Control,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
36,TMS Control,5,4,-1,20/05/2022,NA,N,0,0,6,0,0,1
37,Angled Control,4,4,0,19/05/2022,NA,N,0,0,6,0,0,1
38,PES,4,3,-1,14/05/2022,NA,Y,0,0,6,0,0,1
39,TENS Control,3,1,-2,17/05/2022,17/05/2022,Y,1,1,1,1,1,0
40,Angled Control,3,2,-1,13/05/2022,NA,Y,0,0,6,0,0,1
41,PES,3,2,-1,14/05/2022,23/05/2022,Y,1,1,3,1,1,0
42,TMS,3,4,1,20/05/2022,NA,N,0,0,6,0,0,1
43,TMS,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
44,PES,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
45,PES,3,4,1,16/05/2022,22/05/2022,Y,1,1,2,1,1,0
46,TMS Control,4,3,-1,16/05/2022,NA,Y,0,0,6,0,0,1
47,TENS Control,3,3,0,21/05/2022,NA,N,0,0,6,0,0,1
48,TENS Control,5,4,-1,20/05/2022,NA,N,0,0,6,0,0,1
49,TMS,3,4,1,20/05/2022,NA,N,0,0,6,0,0,1
50,TENS,4,4,0,14/05/2022,31/05/2022,Y,0,0,5,1,1,0
51,TENS Control,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
52,TENS,4,3,-1,16/05/2022,22/05/2022,Y,1,1,2,1,1,0
53,TMS Control,3,1,-2,14/05/2022,23/05/2022,Y,1,1,3,1,1,0
54,TENS Control,4,3,-1,20/05/2022,NA,N,0,0,6,0,0,1
55,TMS Control,4,1,-3,18/05/2022,NA,N,0,0,6,0,0,1
56,PES,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
58,TENS Control,3,3,0,19/05/2022,03/06/2022,N,0,0,5,1,1,0
61,TENS,3,3,0,20/05/2022,NA,N,0,0,6,0,0,1
62,TMS Control,4,3,-1,14/05/2022,NA,Y,0,0,6,0,0,1
63,TMS,3,3,0,17/05/2022,NA,Y,0,0,6,0,0,1
65,TENS,3,3,0,14/05/2022,NA,Y,0,0,6,0,0,1
66,Angled Control,4,3,-1,16/05/2022,NA,Y,0,0,6,0,0,1
67,TENS Control,3,3,0,18/05/2022,NA,N,0,0,6,0,0,1
68,TMS,3,4,1,18/05/2022,NA,N,0,0,6,0,0,1
69,TENS,5,5,0,20/05/2022,NA,N,0,0,6,0,0,1
70,TENS,3,4,1,17/05/2022,NA,Y,0,0,6,0,0,1
72,TMS,3,3,0,20/05/2022,NA,N,0,0,6,0,0,1
73,Angled Control,4,4,0,20/05/2022,NA,N,0,0,6,0,0,1
74,TENS,4,3,-1,14/05/2022,NA,Y,0,0,6,0,0,1
75,TMS,4,4,0,16/05/2022,NA,Y,0,0,6,0,0,1
76,TENS,4,3,-1,13/05/2022,19/05/2022,Y,1,1,2,1,1,0
77,Angled Control,3,3,0,17/05/2022,NA,Y,0,0,6,0,0,1
