Date,FishID,TL,FL,Mass,Treatment,Time,Glucose,Lactate,LacDetect,Cortisol,CV,Plate
08/04/2024,10,240,212,49.6,TENS,0.5,4,LO,0,32.10526241,2.180536884,2
08/04/2024,11,280,249,83.1,Handling,0.5,4.5,0.5,1,53.85924816,3.578318145,1
08/04/2024,12,282,245,74.9,TENS,4,5.1,LO,0,0.586161596,8.924648695,3
08/04/2024,13,289,254,86.1,Clove oil,2,3.1,LO,0,4.277561789,4.242016861,4
08/04/2024,14,266,235,74.8,Handling,4,NA,LO,0,4.826353674,5.184767522,1
08/04/2024,15,260,229,64.9,TENS,2,3.8,LO,0,4.417662243,6.992422525,2
08/04/2024,16,248,216,54.2,Clove oil,4,2.9,LO,0,0.998160546,3.247842795,2
08/04/2024,17,252,219,23.2,MS-222,4,3.8,LO,0,0.23875404,9.578707764,2
08/04/2024,18,270,238,75.1,MS-222,2,3.3,LO,0,0.53903163,4.359283439,3
08/04/2024,19,265,226,64.8,Handling,2,2.2,LO,0,1.06214488,6.109825851,3
08/04/2024,20,241,222,54.4,Clove oil,0.5,NA,LO,0,2.012803117,2.030742332,3
08/04/2024,21,279,243,71.4,MS-222,0.5,3.2,LO,0,12.00394299,1.630655185,2
09/04/2024,22,274,238,72.6,Clove oil,4,5.1,0.4,1,0.353302452,1.257852105,2
09/04/2024,23,239,233,65.5,Clove oil,0.5,4.5,LO,0,6.345834376,0.565479796,1
09/04/2024,24,281,248,78.4,MS-222,0.5,3.9,LO,0,9.779672858,2.826135663,2
09/04/2024,25,293,254,89,MS-222,4,4.2,LO,0,0.54005844,4.013421873,1
09/04/2024,26,293,255,89.2,Handling,4,3.6,LO,0,0.332640912,6.219444644,2
09/04/2024,27,276,242,66.1,TENS,4,5.8,LO,0,0.860707539,3.579975834,3
09/04/2024,28,255,223,62.6,TENS,0.5,4,0.4,1,65.26672086,2.658836474,4
09/04/2024,29,296,256,87.9,Handling,0.5,5.8,LO,0,69.70203221,0.392779677,1
09/04/2024,30,294,292,86.8,MS-222,2,4.5,LO,0,0.538245711,1.22284609,2
09/04/2024,31,230,204,45.2,Clove oil,2,4.4,LO,0,12.27841083,2.427834442,1
09/04/2024,32,290,254,85.4,TENS,2,5.1,LO,0,4.226670485,5.505388915,3
09/04/2024,33,257,228,64,Handling,2,4.3,LO,0,13.96020694,2.727181597,4
11/04/2024,34,274,237,68,Handling,4,2.2,LO,0,2.181056331,4.662242513,2
11/04/2024,35,245,217,51.2,MS-222,2,3.4,LO,0,5.317565839,5.475005841,2
11/04/2024,36,281,245,89.8,TENS,0.5,3.3,LO,0,34.2281573,0.181409106,3
11/04/2024,37,264,228,35.4,MS-222,4,2.4,LO,0,4.807922361,6.399969498,3
11/04/2024,38,274,235,77,TENS,2,4.3,LO,0,10.02074901,10.5151655,2
11/04/2024,39,262,232,66.2,Clove oil,0.5,3.2,LO,0,7.092121831,2.778811748,2
11/04/2024,40,268,242,83.1,Clove oil,4,2.8,LO,0,1.351689228,3.331836159,2
11/04/2024,41,279,246,83,Handling,2,3.3,LO,0,15.72200796,1.504277347,3
11/04/2024,42,281,245,79.7,TENS,4,3.4,LO,0,0.621093974,1.985753443,2
11/04/2024,43,290,251,86.4,Clove oil,2,4.7,LO,0,0.818929069,3.427393725,1
11/04/2024,44,270,234,74.1,MS-222,0.5,3.9,LO,0,19.32901141,2.727349028,4
11/04/2024,45,285,249,76.7,Handling,0.5,3.2,LO,0,30.29366937,1.934609637,2
12/04/2024,46,256,222,60,Clove oil,4,5.4,LO,0,0.115138973,3.900160509,2
12/04/2024,47,244,215,52,Handling,2,3.7,LO,0,9.631527599,2.689628987,3
12/04/2024,48,265,229,62.6,TENS,0.5,2.7,0.5,1,42.46070266,8.957220974,2
12/04/2024,49,270,234,67.6,TENS,4,4.2,LO,0,6.888784298,8.689197828,1
12/04/2024,50,242,210,47.2,Clove oil,2,3.3,LO,0,0.62077223,6.55472633,3
12/04/2024,51,241,212,46.8,MS-222,0.5,4.3,LO,0,5.708055324,3.892635488,2
12/04/2024,52,277,239,77.6,Handling,4,3.6,LO,0,0.195296058,2.772070833,2
12/04/2024,53,262,228,69.2,MS-222,2,4.2,0.9,1,7.823017407,6.772290299,3
12/04/2024,54,275,244,78.3,MS-222,4,3.7,LO,0,0.268184267,8.976773415,1
12/04/2024,55,299,284,96.2,TENS,2,4.6,LO,0,12.04175514,2.200755147,4
12/04/2024,56,275,240,73.7,Handling,0.5,3.7,0.6,1,63.70928159,3.083459026,2
12/04/2024,57,269,234,68.8,Clove oil,0.5,4.3,LO,0,19.70486983,2.091219457,1
13/04/2024,58,238,247,80.5,Clove oil,0.5,3.4,LO,0,24.89156147,0.69688579,1
