ColOrder,Date,Fish,FL,Mass,Treatment,Tank,Temperature,Time,Rheo1,XSwimTime,SwimTime,SwimStarts,Turns,DirectionChanges,Upstreams,Downstreams,EdgeCount,OuterCount,InnerCount,PosCount,NeuCount,NegCount,Surfaces,Notes
1,07/04/2024,2,253,NA,MS-222,5,NA,09:07:50,Positive,NA,NA,NA,NA,4,12,-5,58,0,2,56,0,3,0,
2,07/04/2024,3,223,60.6,TENS,7,14.4,09:36:43,Positive,NA,NA,NA,NA,4,2,-6,50,2,8,57,2,1,0,
3,07/04/2024,4,241,70.5,Handling,9,14.4,09:55:49,Negative,NA,NA,NA,NA,12,16,-8,59,1,0,53,3,4,13,
4,07/04/2024,5,254,94.7,Clove oil,4,NA,10:21:42,Negative,NA,NA,NA,NA,0,0,-1,0,0,60,0,60,0,0,
5,07/04/2024,6,246,80.7,Clove oil,6,14.4,10:56:00,Positive,NA,NA,NA,NA,2,2,-21,44,6,10,52,8,0,0,
6,07/04/2024,7,267,103.9,MS-222,8,14.4,11:15:18,Negative,NA,NA,NA,NA,4,3,-6,41,15,4,55,4,1,5,
7,07/04/2024,8,218,53.8,Handling,10,14.4,11:43:50,Positive,NA,NA,NA,NA,4,17,-4,37,8,15,57,2,1,2,
8,07/04/2024,9,218,59.5,TENS,12,14.5,12:00:34,Negative,NA,NA,NA,NA,3,0,-7,58,2,0,57,3,0,4,
9,08/04/2024,10,212,49.6,TENS,4,NA,08:35:10,Positive,01:13,73,8,4,8,3,-19,29,22,9,52,5,3,6,
10,08/04/2024,11,249,83.1,Handling,6,14.4,08:54:54,Negative,02:56,176,11,16,26,3,-48,50,7,3,32,14,13,21,
11,08/04/2024,12,245,74.9,TENS,8,14.4,09:41:02,Positive,03:24,204,8,27,23,7,-20,60,0,0,44,12,4,34,
12,08/04/2024,13,254,86.1,Clove oil,10,14.3,10:07:14,Negative,03:43,223,2,3,9,0,0,NA,NA,NA,NA,NA,NA,43,
