FishID,TL,FL,Mass,Treatment,Time
BP1,252,218,60.8,PBaseline,NA
2,283,253,NA,MS-222,4
3,254,223,60.6,TENS,4
4,275,241,70.5,Handling,4
5,292,254,94.7,Clove oil,4
6,285,246,80.7,Clove oil,2
7,302,267,103.9,MS-222,2
8,246,218,53.8,Handling,2
BP2,NA,NA,NA,PBaseline,NA
9,250,218,59.5,TENS,2
10,240,212,49.6,TENS,0.5
11,280,249,83.1,Handling,0.5
12,282,245,74.9,TENS,4
13,289,254,86.1,Clove oil,2
14,266,235,74.8,Handling,4
15,260,229,64.9,TENS,2
16,248,216,54.2,Clove oil,4
17,252,219,23.2,MS-222,4
18,270,238,75.1,MS-222,2
19,265,226,64.8,Handling,2
20,241,222,54.4,Clove oil,0.5
21,279,243,71.4,MS-222,0.5
BP3,263,233,69,PBaseline,NA
BP4,246,213,51.6,PBaseline,NA
22,274,238,72.6,Clove oil,4
BB1,264,230,73.4,BBaseline,NA
23,239,233,65.5,Clove oil,0.5
24,281,248,78.4,MS-222,0.5
25,293,254,89,MS-222,4
26,293,255,89.2,Handling,4
27,276,242,66.1,TENS,4
28,255,223,62.6,TENS,0.5
29,296,256,87.9,Handling,0.5
BB2,302,265,97.2,BBaseline,NA
30,294,292,86.8,MS-222,2
BP5,275,243,81.2,PBaseline,NA
31,230,204,45.2,Clove oil,2
32,290,254,85.4,TENS,2
33,257,228,64,Handling,2
BP6,288,253,95.3,PBaseline,NA
34,274,237,68,Handling,4
35,245,217,51.2,MS-222,2
BB3,282,244,89.4,BBaseline,NA
36,281,245,89.8,TENS,0.5
37,264,228,35.4,MS-222,4
38,274,235,77,TENS,2
39,262,232,66.2,Clove oil,0.5
40,268,242,83.1,Clove oil,4
41,279,246,83,Handling,2
42,281,245,79.7,TENS,4
BB4,281,243,82.5,BBaseline,NA
BP7,274,234,68.4,PBaseline,NA
43,290,251,86.4,Clove oil,2
44,270,234,74.1,MS-222,0.5
45,285,249,76.7,Handling,0.5
BP8,291,256,93.3,PBaseline,NA
46,256,222,60,Clove oil,4
BB5,260,228,66.3,BBaseline,NA
47,244,215,52,Handling,2
48,265,229,62.6,TENS,0.5
49,270,234,67.6,TENS,4
50,242,210,47.2,Clove oil,2
51,241,212,46.8,MS-222,0.5
52,277,239,77.6,Handling,4
53,262,228,69.2,MS-222,2
54,275,244,78.3,MS-222,4
BP9,275,239,64.6,PBaseline,NA
55,299,284,96.2,TENS,2
BB6,273,238,72.3,BBaseline,NA
56,275,240,73.7,Handling,0.5
57,269,234,68.8,Clove oil,0.5
BB7,239,210,47.9,BBaseline,NA
58,238,247,80.5,Clove oil,0.5
BB8,266,233,71.5,BBaseline,NA
59,279,240,73.5,MS-222,4
60,246,215,55,TENS,2
61,239,210,51.8,Handling,0.5
62,268,236,72.3,Clove oil,4
63,275,238,72.3,Handling,2
64,271,234,66,Clove oil,2
65,252,217,57.7,TENS,4
66,270,238,65.4,Handling,4
BP10,261,233,67,PBaseline,NA
BB9,259,223,64.7,BBaseline,NA
67,270,235,64.8,MS-222,2
68,283,242,79.3,MS-222,0.5
69,270,234,67,TENS,0.5
BP11,259,226,65.2,PBaseline,NA
BB10,278,238,75.4,BBaseline,NA
70,279,238,70.5,TENS,2
71,294,255,86.5,Handling,4
72,285,244,81,Clove oil,2
73,263,227,63.6,MS-222,0.5
74,270,235,62.7,TENS,4
75,275,238,64.7,MS-222,4
76,295,256,86.5,Clove oil,4
77,249,218,55.4,TENS,0.5
BB11,258,223,64.6,BBaseline,NA
BP12,265,233,68.7,PBaseline,NA
78,275,238,65.9,Clove oil,0.5
79,258,225,59.9,Handling,2
80,248,214,57.5,MS-222,2
81,261,230,62,Handling,0.5
BP13,256,223,56,PBaseline,NA
82,247,217,53.9,TENS,2
83,255,221,55,Handling,0.5
BB12,255,218,55.4,BBaseline,NA
84,246,213,50.3,Clove oil,4
85,254,219,52.4,MS-222,0.5
86,237,205,47.9,TENS,4
87,252,218,48.6,MS-222,2
88,249,218,58.1,MS-222,4
89,237,208,50.3,Handling,4
90,274,239,70.1,Clove oil,2
BB13,256,223,57.9,BBaseline,NA
BB14,264,221,64.8,BBaseline,NA
91,268,233,69.7,Handling,2
92,256,221,55.9,Clove oil,0.5
93,293,250,82.9,TENS,0.5
BP14,242,211,47.5,PBaseline,NA
BB15,273,238,72.2,BBaseline,NA
94,286,247,75.5,Handling,2
95,290,251,84.6,Clove oil,4
96,255,223,56.7,Handling,0.5
97,254,220,57.2,TENS,4
98,247,214,52.7,Clove oil,0.5
99,251,218,55.6,Handling,4
100,262,228,57.4,TENS,2
101,261,224,58.5,MS-222,4
102,271,234,65.8,MS-222,2
BP15,255,223,63.6,PBaseline,NA
BB16,275,237,69.7,BBaseline,NA
103,252,220,51.5,Clove oil,2
104,242,210,45.2,TENS,0.5
105,280,245,73.3,MS-222,0.5
