FishID,FL,Mass,Treatment,Tinduction,Tsurgery,Movements,Tail,Flex,Equil,Eye,TrecRAMP,TotalRecov
2,253,NA,MS-222,268,175,0,1,1,1,1,0,175
3,223,60.6,TENS,NA,167,2,1,1,1,1,0,NA
4,241,70.5,Handling,NA,176,3,1,1,1,1,0,NA
5,254,94.7,Clove oil,250,153,0,0,0,0,1,202,355
6,246,80.7,Clove oil,342,165,0,0,0,0,0,235,400
7,267,103.9,MS-222,280,154,0,0,1,0,1,NA,NA
8,218,53.8,Handling,NA,149,5,1,1,1,1,0,NA
9,218,59.5,TENS,NA,152,NA,1,1,1,1,0,NA
10,212,49.6,TENS,NA,167,2,1,1,1,1,0,NA
11,249,83.1,Handling,NA,141,NA,1,1,1,1,0,NA
12,245,74.9,TENS,NA,170,7,1,1,1,1,0,NA
13,254,86.1,Clove oil,285,134,0,0,0,0,0,358,492
14,235,74.8,Handling,NA,154,6,1,1,1,1,0,NA
15,229,64.9,TENS,NA,204,NA,1,1,1,1,0,NA
16,216,54.2,Clove oil,318,167,0,0,0,0,0,NA,NA
17,219,23.2,MS-222,216,176,0,1,1,1,1,0,176
18,238,75.1,MS-222,355,157,0,0,0,0,0,84,241
19,226,64.8,Handling,NA,143,NA,1,1,1,1,0,NA
20,222,54.4,Clove oil,424,156,0,0,0,0,1,382,538
21,243,71.4,MS-222,313,145,0,0,0,0,0,158,303
22,238,72.6,Clove oil,323,167,0,0,0,0,0,242,409
23,233,65.5,Clove oil,383,142,0,0,0,0,0,258,400
24,248,78.4,MS-222,356,NA,0,0,0,0,0,124,NA
25,254,89,MS-222,387,NA,0,0,0,0,0,349,NA
26,255,89.2,Handling,NA,143,7,1,1,1,1,0,NA
27,242,66.1,TENS,NA,166,3,1,1,1,1,0,NA
28,223,62.6,TENS,NA,174,NA,1,1,1,1,0,NA
29,256,87.9,Handling,NA,163,4,1,1,1,1,0,NA
30,292,86.8,MS-222,395,141,0,0,0,0,0,113,254
31,204,45.2,Clove oil,283,134,0,0,0,0,0,285,419
32,254,85.4,TENS,NA,161,NA,1,1,1,1,0,NA
33,228,64,Handling,NA,128,2,1,1,1,1,0,NA
34,237,68,Handling,NA,137,3,1,1,1,1,0,NA
35,217,51.2,MS-222,402,143,0,0,0,0,0,140,283
36,245,89.8,TENS,NA,152,3,1,1,1,1,0,NA
37,228,35.4,MS-222,279,152,0,0,0,0,0,88,240
38,235,77,TENS,NA,157,3,1,1,1,1,0,NA
39,232,66.2,Clove oil,436,NA,0,0,0,0,0,359,NA
40,242,83.1,Clove oil,433,177,1,0,0,0,0,141,318
41,246,83,Handling,NA,136,1,1,1,1,1,0,NA
